Step	Kinetic	Potential	Total	Px	Py	CMx	CMy	RMS_Radius	MinDist
0	1033.34	-459334	-458300	66.1146	-6.5834	-0.125782	0.0232795	8.20087	0.00588851
10	21115.3	-480651	-459536	66.1146	-6.5834	-0.123141	0.0230165	8.05924	0.00108523
20	61191.2	-521393	-460202	66.1146	-6.5834	-0.1205	0.0227536	7.69927	0.00278146
30	122043	-583628	-461585	66.1146	-6.5834	-0.117859	0.0224906	7.11314	0.00284824
40	224670	-688282	-463612	66.1146	-6.5834	-0.115218	0.0222276	6.28498	0.00323845
50	406964	-874484	-467520	66.1146	-6.5834	-0.112577	0.0219647	5.18371	0.00146246
60	696435	-1.16786e+06	-471428	66.1146	-6.5834	-0.109936	0.0217017	3.78496	0.00213453
70	1.37063e+06	-1.87657e+06	-505946	66.1146	-6.5834	-0.107295	0.0214387	2.14911	0.00178073
80	1.57968e+06	-1.92226e+06	-342580	66.1146	-6.5834	-0.104654	0.0211757	1.96015	0.00257591
90	751115	-1.1301e+06	-378987	66.1146	-6.5834	-0.102013	0.0209128	3.53639	0.00304903
